"kegg","over.abundant.health.conf"
"K00648(3-oxoacyl-[acyl-carrier-protein]_synthase_III)",1
"K00966(mannose-1-phosphate_guanylyltransferase)",0.998
"K08256(phosphatidylinositol_alpha-mannosyltransferase)",0.998
"K01795(chondroitin-glucuronate_5-epimerase)",0.996
"K03555(DNA_mismatch_repair_protein_MutS)",0.996
"K03718(Lrp/AsnC_family_transcriptional_regulator,_regulator_for_asnA,_asnCand_gidA)",0.996
"K01918(pantoate--beta-alanine_ligase)",0.994
"K01960(pyruvate_carboxylase_subunit_B)",0.994
"K07568(S-adenosylmethionine:tRNA_ribosyltransferase-isomerase)",0.994
"K00174(2-oxoglutarate_ferredoxin_oxidoreductase_subunit_alpha)",0.992
"K00175(2-oxoglutarate_ferredoxin_oxidoreductase_subunit_beta)",0.992
"K00791(tRNA_dimethylallyltransferase)",0.992
"K01422(putative_membrane_protein)",0.992
"K02377(GDP-L-fucose_synthase)",0.992
"K03442(small_conductance_mechanosensitive_channel)",0.992
"K07098(lipopolysaccharide_export_system_permease_protein)",0.992
"K07263(zinc_protease)",0.992
"K00176(2-oxoglutarate_ferredoxin_oxidoreductase_subunit_delta)",0.99
"K03561(biopolymer_transport_protein_ExbB)",0.99
"K03924(MoxR-like_ATPase)",0.99
"K15521()",0.99
"K00566(tRNA-specific_2-thiouridylase)",0.988
"K03832(periplasmic_protein_TonB)",0.988
"K00998(phosphatidylserine_synthase)",0.986
"K01132(N-acetylgalactosamine-6-sulfatase)",0.986
"K01135(arylsulfatase_B)",0.986
"K02429(MFS_transporter,_FHS_family,_L-fucose_permease)",0.986
"K03307(solute:Na+_symporter,_SSS_family)",0.986
"K03559(biopolymer_transport_protein_ExbD)",0.986
"K06896(ATP-dependent_Clp_protease_adaptor_protein_ClpS)",0.986
"K00712(poly(glycerol-phosphate)_alpha-glucosyltransferase)",0.984
"K01278(dipeptidyl-peptidase_4)",0.984
"K01847(methylmalonyl-CoA_mutase)",0.984
"K01993(HlyD_family_secretion_protein)",0.984
"K03797(carboxyl-terminal_processing_protease)",0.984
"K07126(N-acetylmuramic_acid_6-phosphate_etherase)",0.984
"K07796(Cu(I)/Ag(I)_efflux_system_outer_membrane_protein_CusC)",0.984
"K10206(LL-diaminopimelate_aminotransferase)",0.984
"K12111(evolved_beta-galactosidase_subunit_alpha)",0.984
"K01184(polygalacturonase)",0.982
"K01991(polysaccharide_export_outer_membrane_protein)",0.982
"K03564(peroxiredoxin_Q/BCP)",0.982
"K03773(FKBP-type_peptidyl-prolyl_cis-trans_isomerase_FklB)",0.982
"K05606(methylmalonyl-CoA_epimerase)",0.982
"K06001(tryptophan_synthase_beta_chain)",0.982
"K06142(outer_membrane_protein)",0.982
"K07107(N-acetylmuramic_acid_6-phosphate_etherase)",0.982
"K07277(outer_membrane_protein)",0.982
"K07679(two-component_system,_NarL_family,_sensor_histidine_kinase_EvgS)",0.982
"K12600(superkiller_protein_3)",0.982
"K13002(glycosyltransferase)",0.982
"K01136(iduronate_2-sulfatase)",0.98
"K01811(putative_family_31_glucosidase)",0.98
"K02199(cytochrome_c_biogenesis_protein_CcmG,_thiol:disulfide_interchangeprotein_DsbE)",0.98
