kegg,brite_level
K00184,NA
K00185,NA
K00183,NA
K00180,Enzymes [BR:ko01000]
K01361,Enzymes [BR:ko01000]
K01360,Enzymes [BR:ko01000]
K01362,Enzymes [BR:ko01000]
K09173,Transcription factors [BR:ko03000]
K06972,Enzymes [BR:ko01000]
K11909,Secretion system [BR:ko02044]
K04641,G protein-coupled receptors [BR:ko04030]
K04640,GTP-binding proteins [BR:ko04031]
K04643,G protein-coupled receptors [BR:ko04030]
K04642,G protein-coupled receptors [BR:ko04030]
K00590,Enzymes [BR:ko01000]
K05841,Enzymes [BR:ko01000]
K05844,Enzymes [BR:ko01000]
K08566,Enzymes [BR:ko01000]
K15548,Transporters [BR:ko02000]
K15549,Transporters [BR:ko02000]
K04081,Chaperones and folding catalysts [BR:ko03110]
K05565,Transporters [BR:ko02000]
K04087,KEGG modules [BR:ko00002]
K04086,Chaperones and folding catalysts [BR:ko03110]
K04084,Enzymes [BR:ko01000]
K15540,NA
K04088,KEGG modules [BR:ko00002]
K15545,Transcription factors [BR:ko03000]
K00504,Enzymes [BR:ko01000]
K15547,Transporters [BR:ko02000]
K14774,Ribosome biogenesis [BR:ko03009]
K09281,Transcription factors [BR:ko03000]
K14775,Ribosome biogenesis [BR:ko03009]
K00986,Enzymes [BR:ko01000]
K00987,Enzymes [BR:ko01000]
K00984,Enzymes [BR:ko01000]
K01102,Enzymes [BR:ko01000]
K00982,Enzymes [BR:ko01000]
K01104,Enzymes [BR:ko01000]
K01299,Enzymes [BR:ko01000]
K05593,Enzymes [BR:ko01000]
K05590,Enzymes [BR:ko01000]
K05591,Enzymes [BR:ko01000]
K05596,Transcription factors [BR:ko03000]
K05594,NA
K05595,Transporters [BR:ko02000]
K01290,Enzymes [BR:ko01000]
K01293,Enzymes [BR:ko01000]
K01292,Enzymes [BR:ko01000]
K01295,Enzymes [BR:ko01000]
K01297,Enzymes [BR:ko01000]
K01296,Enzymes [BR:ko01000]
K15325,Transfer RNA biogenesis [BR:ko03016]
K15326,Transfer RNA biogenesis [BR:ko03016]
K15327,Polyketide biosynthesis proteins [BR:ko01008]
K15320,Enzymes [BR:ko01000]
K14772,Ribosome biogenesis [BR:ko03009]
K15322,Transfer RNA biogenesis [BR:ko03016]
K10058,Lectins [BR:ko04091]
K14540,Ribosome biogenesis [BR:ko03009]
K15328,Polyketide biosynthesis proteins [BR:ko01008]
K15329,Polyketide biosynthesis proteins [BR:ko01008]
K13173,Spliceosome [BR:ko03041]
K10442,Ubiquitin system [BR:ko04121]
K00219,Enzymes [BR:ko01000]
K02039,NA
K01741,Enzymes [BR:ko01000]
K13170,Spliceosome [BR:ko03041]
K02663,Secretion system [BR:ko02044]
K02031,KEGG modules [BR:ko00002]
K02032,KEGG modules [BR:ko00002]
K02033,KEGG modules [BR:ko00002]
K02034,KEGG modules [BR:ko00002]
K05562,Transporters [BR:ko02000]
K09522,Chaperones and folding catalysts [BR:ko03110]
K08116,Proteoglycans [BR:ko00535]
K08023,NA
K09249,KEGG modules [BR:ko00002]
K14437,Enzymes [BR:ko01000]
K14436,Enzymes [BR:ko01000]
K14435,Enzymes [BR:ko01000]
K08188,Transporters [BR:ko02000]
K08189,Transporters [BR:ko02000]
K08186,Transporters [BR:ko02000]
K13657,Enzymes [BR:ko01000]
K08184,Transporters [BR:ko02000]
K08185,Transporters [BR:ko02000]
K08182,Transporters [BR:ko02000]
K08183,Transporters [BR:ko02000]
K13650,Prokaryotic defense system [BR:ko02048]
K08181,Transporters [BR:ko02000]
K15430,Enzymes [BR:ko01000]
K14128,Enzymes [BR:ko01000]
K15433,Transfer RNA biogenesis [BR:ko03016]
K08344,Transporters [BR:ko02000]
K15435,Enzymes [BR:ko01000]
K05118,Enzymes [BR:ko01000]
K06813,Cell adhesion molecules and their ligands [BR:ko04516]
K14121,NA
K14120,NA
K14123,NA
K14122,NA
K14125,NA
K14124,NA
K14127,Enzymes [BR:ko01000]
K14126,Enzymes [BR:ko01000]
K05336,Transporters [BR:ko02000]
K05337,NA
K06811,Cell adhesion molecules and their ligands [BR:ko04516]
K02100,Transporters [BR:ko02000]
K02101,NA
K02450,KEGG modules [BR:ko00002]
