kegg,level_1,level_2
K01369,Cellular Processes,Transport and catabolism
K01368,Cellular Processes,Transport and catabolism
K01365,Cellular Processes,Transport and catabolism
K01364,Human Diseases,Drug resistance
K01366,Cellular Processes,Transport and catabolism
K01361,NA,NA
K01360,NA,NA
K01363,Cellular Processes,Transport and catabolism
K01362,NA,NA
K09173,NA,NA
K05848,Metabolism,Lipid metabolism
K05849,Environmental Information Processing,Signal transduction
K05841,NA,NA
K05842,Environmental Information Processing,Signal transduction
K05844,NA,NA
K05845,Environmental Information Processing,Membrane transport
K08566,NA,NA
K05847,Environmental Information Processing,Membrane transport
K00508,Metabolism,Lipid metabolism
K00502,Metabolism,Amino acid metabolism
K00507,Metabolism,Overview
K00504,NA,NA
K00505,Metabolism,Amino acid metabolism
K04469,Environmental Information Processing,Signal transduction
K09281,NA,NA
K09789,Metabolism,Metabolism of cofactors and vitamins
K04461,Environmental Information Processing,Signal transduction
K04460,Environmental Information Processing,Signal transduction
K01103,Metabolism,Carbohydrate metabolism
K01102,NA,NA
K01104,NA,NA
K01107,Metabolism,Carbohydrate metabolism
K01106,Metabolism,Carbohydrate metabolism
K05592,Genetic Information Processing,"Folding, sorting and degradation"
K05593,NA,NA
K05590,NA,NA
K05591,NA,NA
K05596,NA,NA
K05597,Metabolism,Amino acid metabolism
K05594,NA,NA
K05595,NA,NA
K02045,Metabolism,Energy metabolism
K14549,Genetic Information Processing,Translation
K11962,Environmental Information Processing,Membrane transport
K14541,Metabolism,Amino acid metabolism
K14540,NA,NA
K14547,Genetic Information Processing,Translation
K14546,Genetic Information Processing,Translation
K14545,Genetic Information Processing,Translation
K14544,Genetic Information Processing,Translation
K06573,Organismal Systems,Excretory system
K09780,NA,NA
K05141,Environmental Information Processing,Signal transduction
K02456,Environmental Information Processing,Membrane transport
K02457,Environmental Information Processing,Membrane transport
K02106,Environmental Information Processing,Signal transduction
K02455,Environmental Information Processing,Membrane transport
K02452,Environmental Information Processing,Membrane transport
K02101,NA,NA
K02450,NA,NA
K02451,NA,NA
K08138,NA,NA
K02108,Metabolism,Energy metabolism
K02109,Metabolism,Energy metabolism
K02458,Environmental Information Processing,Membrane transport
K05339,Environmental Information Processing,Signal transduction
K08137,NA,NA
K08135,Organismal Systems,Digestive system
K03851,Metabolism,Metabolism of other amino acids
K03850,Metabolism,Glycan biosynthesis and metabolism
K03852,Metabolism,Metabolism of other amino acids
K03855,NA,NA
K03854,NA,NA
K03857,Metabolism,Glycan biosynthesis and metabolism
K03856,Metabolism,Overview
K03859,Metabolism,Glycan biosynthesis and metabolism
K08133,Organismal Systems,Digestive system
K08132,Organismal Systems,Digestive system
K13018,Metabolism,Carbohydrate metabolism
K13019,Metabolism,Carbohydrate metabolism
K02195,Environmental Information Processing,Membrane transport
K13010,Metabolism,Carbohydrate metabolism
K13011,NA,NA
K13012,NA,NA
K13013,NA,NA
K13014,Metabolism,Carbohydrate metabolism
K13015,Metabolism,Carbohydrate metabolism
K13016,Metabolism,Carbohydrate metabolism
K13017,Metabolism,Carbohydrate metabolism
K04888,NA,NA
K04883,NA,NA
K04882,NA,NA
