"kegg","level_1","level_2","BRITE_id","X","LS001","LS002","LS003","LS004","LS005","LS006","LS007","CD.SRS301865","CD.SRS301866","CD.SRS301867","CD.SRS301868","CD.SRS301869","CD.SRS301870","CD.SRS301871","CD.SRS301872","CD.SRS301873","CD.SRS301874","CD.SRS301875","CD.SRS301876","CD.SRS301877","CD.SRS301878","CD.SRS301879","UC.SRS071964","UC.SRS071970","UC.SRS071978","UC.SRS071981","UC.SRS071982","UC.SRS071988","HE.SRS011061","HE.SRS011084","HE.SRS011134","HE.SRS011239","HE.SRS011271","HE.SRS011302","HE.SRS011405","HE.SRS011452","HE.SRS011529","HE.SRS011586","HE.SRS012273","HE.SRS012902","HE.SRS013158","HE.SRS013215","HE.SRS013687","HE.SRS013951","HE.SRS014235","HE.SRS014923","HE.SRS014979","HE.SRS015065","HE.SRS015217","HE.SRS015578","HE.SRS015663","HE.SRS016018","HE.SRS016095","HE.SRS016335","HE.SRS016495","HE.SRS017103","HE.SRS017433","HE.SRS018427","HE.SRS018656","HE.SRS020328","HE.SRS020869","HE.SRS022713","HE.SRS016585.suspect","over","kegg.selected","group"
"K01422","Metabolism","Enzyme families","ko01000","K01422(putative_membrane_protein)",0.000248502440484137,0.000341107535757319,0.00025337614752858,0.00029326723349736,0.000581112279832415,0.000496916148689074,0.000395792283511029,0.000343025064345666,0.000452944273407768,1.91754190738525e-05,6.61571787931123e-05,7.47836772500664e-05,0.00017972588635535,0.000177837175949527,0.000342277637657137,0.00025214541395349,0.000439310968521429,0.000223946272101141,2.32985133012788e-05,8.07948567286778e-05,2.15894801881834e-05,0.000103166662395441,0.000373431360868766,0.000516282674867681,0.000260851794255012,0.000351485530578814,0.000333073598573867,0.000479071993374263,0.000573068793047706,0.000588923368096906,0.000640531887135031,0.000643282142590957,0.000440319545045039,0.000655103790487845,0.000446031175778612,0.000518055839510473,0.000467664024097378,0.000690644190784493,0.000623896826705907,0.000354943541979453,0.000350112199852075,0.00053884899629888,0.000443660295147576,0.000590327958504535,0.000516636599396851,0.000305314520939186,0.000570543919573465,0.00038986689177361,0.000386251428406335,0.00027825450616265,0.000577890037071807,0.000627346052945913,0.000790169824410622,0.000758796546713511,0.000553877971867027,0.000552439736919184,0.000631089221720716,0.000545795221742103,0.000690706684192879,0.000664274391459231,0.000548096111669112,0.000483771848875709,4.12131399514207e-06,0.972,"1 Used for KS selection","TS over"
"K05785","Genetic Information Processing","Transcription","ko03000","K05785(transcriptional_antiterminator_RfaH)",6.34859734535638e-05,4.56841447747946e-05,6.04064432647753e-05,4.13289147796894e-05,1.95431702839568e-05,0.000229563986949388,8.98851071991898e-05,1.89067445494166e-05,5.02869097515211e-05,0,1.95408627592426e-07,0,0,2.29929220483952e-05,1.2783970477046e-06,1.00117644644323e-06,0.000206946468597101,5.49349527132807e-06,8.38830994526256e-06,0,0,7.76593088878512e-06,0,0.000419771313443638,0,2.77637356543329e-05,0.000391565586305001,0.000461584102135674,0.000477997589800167,0.00059584233675998,0.000298593052299788,0.000332463896356963,0.000627471802542448,0.000139804203889792,0.000747880560506135,0.000610929940324338,0.000793195682023761,0.000390775085506473,0.000208435881642584,0.000548549706651048,0.000404198942156048,0.000616668239520024,0.00050524599168497,0.000132498221403993,0.000358696646194853,0.000164086447122352,0.000120445302860878,0.000274991106781618,9.01726727655363e-05,0.000300948698844538,0.000260312251307776,0.000852761547504178,0.000472223847390577,0.0002462314865476,9.41582487940649e-05,0.000375939452219756,0.000395073366067719,0.000505569842987625,0.000507805558419158,0.000241584458074594,0.000445067928212047,0.00077257060320851,0.000241963819755483,0.97,"2 over.abundant","TS over"
"K00174","Metabolism","Overview","","K00174(2-oxoglutarate_ferredoxin_oxidoreductase_subunit_alpha)",0.000388291592925285,0.000188281572492835,0.00028386578775198,0.000196575226461536,0.000410646840835389,0.000558862586197141,0.000475225404247476,0.000128009875617226,0.000118270548305319,7.06456361309543e-05,1.85400873057173e-06,6.51193237528152e-06,8.68244005541677e-06,2.88540175244404e-05,3.86972807064338e-05,1.02135505262753e-05,0.000275176295748229,4.51879930720169e-05,3.76985596911678e-05,7.41110055639394e-05,0,8.52767941504451e-05,2.86961827718795e-05,0.000581177005383056,0.000305171459619918,0.000181934911747002,0.00036594562873834,0.000587809867353598,0.000818925982862057,0.000778517672918779,0.000532241112671566,0.000833173286030596,0.000516669110236794,0.000298900478158216,0.000758740413146431,0.000955908965688149,0.000842848685942867,0.00051389963819215,0.000450152680215162,0.000963342879842095,0.000784746348755586,0.000787832641235205,0.000746162037468362,0.000236854930753486,0.000559770186319263,0.000260580686603772,0.00035372388067023,0.000484205624353419,0.000143548376553275,0.000669278318263421,0.000775978953855124,0.00098855125395776,0.000644173879832722,0.000436910884630642,8.81624154556461e-05,0.000955755194368774,0.000985462345684991,0.000790057971997397,0.000949177816566732,0.000660925238888481,0.000701748181349243,0.000879189150025931,7.66685743019337e-06,0.968,"1 Used for KS selection","TS over"
"K01284","Metabolism","Enzyme families","ko01000","K01284(peptidyl-dipeptidase_Dcp)",6.39899907991275e-05,3.8185957511206e-05,5.38180007389719e-05,3.91598807034465e-05,3.44212134679427e-05,0.000202455592136948,6.1550693707266e-05,1.00688686964323e-05,2.77473684990452e-05,0,3.88764744894645e-07,0,0,1.60400708073887e-05,6.8125701449106e-07,5.81220221112996e-07,0.000118340923612605,3.7910659396982e-06,4.50239209422321e-06,0,0,1.63010672336543e-05,0.000215813561225016,0.000349395456665962,0.000135982447532661,0.000118616883518995,0.000231986528423977,0.000350444311613026,0.000505671215207339,0.000467233940289149,0.000269526345547765,0.000482651535438316,0.00052302218644396,0.000124317191614315,0.000491891150246284,0.000524670163369958,0.000538494247406772,0.000333020536095349,0.000265833351106032,0.000622755344744548,0.000542875459992122,0.000488413820237017,0.000444519215961666,9.62824399626601e-05,0.000333659107982504,0.000118726504293104,0.000105478749044409,0.000281955950221009,0.000110756074426583,0.00045340183149488,0.000361204612332572,0.000551718742456552,0.000337358232959592,0.000222956581403222,5.88934073912305e-05,0.00056488962689118,0.000551752649907978,0.000378758523835198,0.000414342462172,0.000386326113343346,0.00041455953174057,0.000561259292764527,0.000169015351650987,0.968,"1 Used for KS selection","TS over"
"K03555","Genetic Information Processing","Replication and repair","","K03555(DNA_mismatch_repair_protein_MutS)",0.000315447643394163,0.00032794181287625,0.000346690456396736,0.00036107993266994,0.000429735593697852,0.000394737953579283,0.000378493821135286,0.000375265736517001,0.000408582072669757,0.000155950025092438,0.000144404603262791,0.000151438194378589,0.000252496772550891,0.000328560447382289,0.00032510473616694,0.000361052259808375,0.000426552880099204,0.000280568716154847,0.000146879953290772,0.000290140859664451,6.71847765885699e-05,0.000207699112121135,6.53885280048693e-06,0.000424220788480614,0.000123035267770925,0.000343617964553473,0.000329579217859808,0.000406587146349201,0.000449789540744941,0.000428631420876692,0.000529024694195887,0.000482839055783107,0.000446262572052326,0.000875861427623418,0.000452957872975208,0.000445839770186681,0.00047213384257985,0.000525546420244415,0.000502091866005204,0.000504860977743755,0.000455440448994798,0.000471214753290387,0.000489276287991425,0.000452085219453885,0.000502220728582115,0.00042008803963959,0.000576320509966194,0.000435287619111027,0.000416367789603172,0.000419918439826446,0.000499107512615805,0.000477431586142145,0.00037117956718463,0.000438880589811963,0.000774141454377332,0.000386632567512154,0.000494086410223413,0.00048749535550596,0.000498185924851071,0.000519633377849573,0.000412634209366329,0.00041332963816713,0.000171061223835039,0.968,"2 over.abundant","TS over"
"K00175","Metabolism","Overview","","K00175(2-oxoglutarate_ferredoxin_oxidoreductase_subunit_beta)",0.000385474325830787,0.0001800614363593,0.000255386814294497,0.000192682878552639,0.000414995461011,0.000555575477773039,0.000471919789815467,0.00012888369861678,0.000134931018775456,6.89020177318462e-05,5.99094811885218e-06,6.62557866455345e-06,1.26467523033081e-05,2.89108413153924e-05,3.31035989173477e-05,2.63798487989731e-05,0.000277571422351899,7.73711893089752e-05,3.88129115856413e-05,8.17629410045432e-05,0,0.000106821594047768,0,0.000659060793400676,0.00042324187052794,0.000249994400436539,0.000375377885087519,0.000667881528668044,0.000871547181909567,0.000796707744879796,0.000525178846378908,0.000812460176927127,0.000606005804450908,0.00030406222262827,0.000764033009066124,0.000912526687570063,0.000818991319746476,0.000519942141015433,0.000463591654911461,0.000988519159307461,0.000789124937859946,0.000836245997405941,0.000748145135979274,0.000216012078196228,0.000552119742866531,0.000248645873936792,0.000345108750676455,0.000497386912217152,0.000149232568507295,0.000703326100285519,0.00076023850382544,0.000979208294682236,0.000658549266760526,0.000439435384847877,9.11682496751325e-05,0.000913758621850591,0.000973761980270849,0.000796092907439925,0.00100046455351352,0.000598609154493987,0.000717277623679698,0.000886677604317192,9.62191168085785e-06,0.966,"1 Used for KS selection","TS over"
"K00966","Metabolism","Carbohydrate metabolism","","K00966(mannose-1-phosphate_guanylyltransferase)",0.000150038802641955,0.000165245709208188,0.000139067370769903,0.000141995091965723,0.000162966018882816,0.000309817692093147,0.000253955378398552,5.96259659592248e-05,5.37246234805702e-05,4.56505761692705e-05,4.63310704922274e-05,4.65655346165028e-05,0.000150666851828141,7.82582079332353e-05,6.57905326860705e-06,0.000152276353932811,0.000237275598026761,9.6738854604735e-06,1.19251576664926e-05,5.83600654308195e-05,5.06135502252653e-06,1.71553577302422e-05,4.37322413988815e-05,0.000554836639680437,0.00118630154201538,0.000570327403701791,0.000254484796789201,0.000610238337112593,0.00057671045513411,0.000575713000552487,0.000496484846386259,0.000584747209060428,0.000759291214416796,0.000468678845933537,0.000551143701506021,0.000626585128775147,0.000738313986821806,0.000385201971048724,0.000328646395471397,0.000670041062394909,0.000547926416551312,0.000633390455384998,0.000591723103748193,0.000365447635875366,0.000526423456995091,0.000560133403989783,0.000331165225466211,0.000507783534635728,0.000441997742257663,0.000922262175779737,0.000620241223544137,0.000428220773827503,0.000425300031024445,0.00032938858528044,0.000419560048663805,0.000686987004704106,0.000699114075166763,0.00052271281515188,0.000393715039372811,0.000474035696764977,0.000520873961135947,0.000867517854148266,7.06169656422956e-06,0.966,"2 over.abundant","TS over"
"K12600","Genetic Information Processing","Folding, sorting and degradation","","K12600(superkiller_protein_3)",0.000330112111738366,9.07661127812955e-05,0.000134310360742874,0.000148017576753801,8.84039806993664e-05,0.000425232114720196,0.000134458796690076,0.000131481235967149,0.000133536456556234,8.4927915850838e-05,2.40121490159876e-05,2.97607747287039e-05,5.5535803814175e-05,9.65409624695096e-05,9.56340879647226e-05,0.000125419459922481,0.000268837324777232,4.57320019511558e-05,6.99685113948984e-05,7.72563808818258e-05,4.70976765554342e-05,0.000110558222289427,5.14889383993169e-05,0.000716616185060227,0.000167307010447373,0.00013999384719191,0.000419652030861928,0.000741624120213849,0.000868873439558971,0.000711595066347377,0.000435449519306462,0.000610558345852203,0.000685513890926566,0.00027674211705469,0.000782685783874002,0.000645421775315199,0.000707421076996617,0.000482973833072077,0.000420735743697585,0.00089694279574774,0.000835291134217435,0.0007730019931947,0.000629136982996047,0.000164824963164435,0.000528354087513826,0.000276120001453492,0.000219454538646585,0.000560999713434456,0.000187334877595253,0.000642783457950319,0.000685045660066888,0.000811125154959669,0.000733972703100956,0.000610917752734083,9.91399912983368e-05,0.000677159042757308,0.000838636375176097,0.000643135150615892,0.00049730506801936,0.000534444648137365,0.000542143540214398,0.000848218154821295,0.000170858664687024,0.966,"1 Used for KS selection","TS over"
"K01795","Metabolism","Enzyme families","ko01000","K01795(chondroitin-glucuronate_5-epimerase)",0.000319963049616692,0.000276609488572809,0.000188172967350854,0.0001972207355693,0.000149904066366834,0.000464732935265989,0.000262707739673473,0.000144152123854557,0.000123167548643262,9.48895995252904e-05,5.31047248002525e-05,2.93570015352711e-05,7.77134205054825e-05,0.000314093740083066,8.31696601841496e-05,0.000106207664025098,0.000266653757698092,0.000185832498803666,7.03821326447331e-05,0.00019077768170728,7.52646535178588e-05,0.000124905410882667,0.000258005022865712,0.000660612492717645,0.000427764179688101,0.000337296197498288,0.000358745990311027,0.000695926046600884,0.000649940194243853,0.000589657085821632,0.000490823077266375,0.000604639894219091,0.000503425725130907,0.000496046314088869,0.000643369610248495,0.000599490160081771,0.000633227224035821,0.00063397170722239,0.000438474362966485,0.00060733643876888,0.000727141995633811,0.00115590640489428,0.000530140397651716,0.000301540573058517,0.000570815636922885,0.000500541837168633,0.000221595364286195,0.000580023946831371,0.000237636706237573,0.00089990116358688,0.000514421842278172,0.000850146656978014,0.00101487708041065,0.000713385853936484,0.000543737297424929,0.000547608652430632,0.000553500131295737,0.000638499788674815,0.000514673335111192,0.00047938457864418,0.000564180425671782,0.000682151602405096,0.000258805140071053,0.964,"1 Used for KS selection","TS over"
"K03350","Genetic Information Processing","Folding, sorting and degradation","","K03350(anaphase-promoting_complex_subunit_3)",0.000386471837060731,0.000122437049399305,0.000166608904845167,0.000205544484239667,9.51884884926059e-05,0.000553441630657658,0.000191531622841588,0.000264331436892657,0.000192290062739082,1.39373602924757e-05,3.80782591018909e-05,4.63150337474372e-05,4.05696622378095e-05,8.32860138876299e-05,0.000190603710207537,0.000154212546581565,0.000356199228947797,4.97248846804958e-05,3.39341547625039e-05,7.34749185880703e-05,1.53644778908316e-05,3.00327730078507e-05,0.000863165776449039,0.00045908773020474,0.000219286847449577,0.000259993363565729,0.000526395090120815,0.000373076396486516,0.00138258459973683,0.000856468053828841,0.000815308757113975,0.00128946984391254,0.0012134512915158,0.00076064292746777,0.00111551761772302,0.00112605085107509,0.00135475785601192,0.00083161401668173,0.00126776762474028,0.0019064216047288,0.00145631839324587,0.001123361820054,0.00100026932659955,0.000345940224693091,0.000758313940305843,0.000408237003630642,0.000478072326802281,0.000776457894675313,0.000354307127719968,0.00130677250009668,0.000813664740570654,0.00139745558956949,0.00131616843691363,0.00154888893068671,8.87577745164517e-05,0.000865826193874986,0.000908581458989243,0.00111398519661561,0.000727446190020085,0.000965132544712515,0.000808140209999508,0.00137181928420268,0.000293024004974744,0.964,"2 over.abundant","TS over"
