"kegg","over.abundant.health.conf"
"K00005(glycerol_dehydrogenase)",0.004
"K00009(mannitol-1-phosphate_5-dehydrogenase)",0
"K00020(3-hydroxyisobutyrate_dehydrogenase)",0.018
"K00042(2-hydroxy-3-oxopropionate_reductase)",0.018
"K00043(4-hydroxybutyrate_dehydrogenase)",0.018
"K00087(xanthine_dehydrogenase_molybdenum-binding_subunit)",0
"K00129(aldehyde_dehydrogenase_(NAD(P)+))",0.016
"K00183(molybdopterin_oxidoreductase,_molybdopterin_binding_subunit)",0.008
"K00194(carbon-monoxide_dehydrogenase_delta_subunit)",0.016
"K00197(carbon-monoxide_dehydrogenase_gamma_subunit)",0.016
"K00198(carbon-monoxide_dehydrogenase_catalytic_subunit)",0.014
"K00362(nitrite_reductase_(NAD(P)H)_large_subunit)",0
"K00366(ferredoxin-nitrite_reductase)",0.004
"K00370(nitrate_reductase_1,_alpha_subunit)",0
"K00371(nitrate_reductase_1,_beta_subunit)",0.002
"K00373(nitrate_reductase_1,_delta_subunit)",0.014
"K00374(nitrate_reductase_1,_gamma_subunit)",0
"K00394(adenylylsulfate_reductase,_subunit_A)",0.018
"K00395(adenylylsulfate_reductase,_subunit_B)",0.016
"K00557(tRNA_(uracil-5-)-methyltransferase)",0
"K00563(23S_rRNA_(guanine745-N1)-methyltransferase)",0
"K00621(glucosamine-phosphate_N-acetyltransferase)",0.01
"K00669(arylalkylamine_N-acetyltransferase)",0
"K00690(sucrose_phosphorylase)",0
"K00805(heptaprenyl_diphosphate_synthase)",0.016
"K00867(type_I_pantothenate_kinase)",0
"K00869(mevalonate_kinase)",0.016
"K00872(homoserine_kinase)",0.002
"K00880(L-xylulokinase)",0
"K00882(1-phosphofructokinase)",0.016
"K00917(tagatose_6-phosphate_kinase)",0
"K00990([protein-PII]_uridylyltransferase)",0.004
"K01008(selenide,_water_dikinase)",0
"K01011(thiosulfate/3-mercaptopyruvate_sulfurtransferase)",0.008
"K01042(L-seryl-tRNA(Ser)_seleniumtransferase)",0
"K01054(acylglycerol_lipase)",0.014
"K01073(acyl-CoA_hydrolase)",0.012
"K01220(6-phospho-beta-galactosidase)",0.014
"K01222(6-phospho-beta-glucosidase)",0
"K01223(6-phospho-beta-glucosidase)",0.004
"K01232(maltose-6'-phosphate_glucosidase)",0
"K01266(D-aminopeptidase)",0.002
"K01281(X-Pro_dipeptidyl-peptidase)",0.004
"K01299(carboxypeptidase_Taq)",0.016
"K01354(oligopeptidase_B)",0.004
"K01400(bacillolysin)",0
"K01439(succinyl-diaminopimelate_desuccinylase)",0.014
"K01451(hippurate_hydrolase)",0.004
"K01494(dCTP_deaminase)",0.014
"K01496(phosphoribosyl-AMP_cyclohydrolase)",0.008
"K01523(phosphoribosyl-ATP_pyrophosphohydrolase)",0.004
"K01541(H+/K+-exchanging_ATPase)",0.014
"K01595(phosphoenolpyruvate_carboxylase)",0
"K01641(hydroxymethylglutaryl-CoA_synthase)",0.004
"K01643(citrate_lyase_subunit_alpha_/_citrate_CoA-transferase)",0.012
"K01644(citrate_lyase_subunit_beta_/_citryl-CoA_lyase)",0.004
"K01646(citrate_lyase_subunit_gamma)",0.012
"K01664(para-aminobenzoate_synthetase_component_II)",0.018
"K01697(cystathionine_beta-synthase)",0.002
"K01698(porphobilinogen_synthase)",0.002
"K01749(hydroxymethylbilane_synthase)",0.018
"K01751(diaminopropionate_ammonia-lyase)",0
"K01772(ferrochelatase)",0
"K01777(proline_racemase)",0.006
"K01788(N-acylglucosamine-6-phosphate_2-epimerase)",0.002
"K01819(galactose-6-phosphate_isomerase)",0
"K01878(glycyl-tRNA_synthetase_alpha_chain)",0
"K01879(glycyl-tRNA_synthetase_beta_chain)",0
"K02007(cobalt/nickel_transport_system_permease_protein)",0
"K02011(iron(III)_transport_system_permease_protein)",0.01
"K02012(iron(III)_transport_system_substrate-binding_protein)",0.018
"K02017(molybdate_transport_system_ATP-binding_protein)",0.008
"K02018(molybdate_transport_system_permease_protein)",0.002
"K02019(molybdate_transport_system_regulatory_protein)",0
"K02020(molybdate_transport_system_substrate-binding_protein)",0.004
"K02021(putative_ABC_transport_system_ATP-binding_protein)",0.002
"K02043(GntR_family_transcriptional_regulator,_phosphonate_transport_systemregulatory_protein)",0.016
"K02046(sulfate_transport_system_permease_protein)",0
"K02047(sulfate_transport_system_permease_protein)",0
"K02048(sulfate_transport_system_substrate-binding_protein)",0
"K02053(putative_spermidine/putrescine_transport_system_permease_protein)",0
"K02054(putative_spermidine/putrescine_transport_system_permease_protein)",0.004
"K02055(putative_spermidine/putrescine_transport_system_substrate-bindingprotein)",0.004
"K02071(D-methionine_transport_system_ATP-binding_protein)",0.008
"K02072(D-methionine_transport_system_permease_protein)",0.004
"K02073(D-methionine_transport_system_substrate-binding_protein)",0.004
"K02082(tagatose-6-phosphate_ketose/aldose_isomerase)",0.002
"K02083(allantoate_deiminase)",0.014
"K02173(hypothetical_protein)",0.004
"K02221(YggT_family_protein)",0.01
"K02243(competence_protein_ComGA)",0.016
"K02244(competence_protein_ComGB)",0.008
"K02246(competence_protein_ComGD)",0.008
"K02302(uroporphyrin-III_C-methyltransferase_/_precorrin-2_dehydrogenase_/sirohydrochlorin_ferrochelatase)",0.004
"K02304(precorrin-2_dehydrogenase_/_sirohydrochlorin_ferrochelatase)",0.006
"K02379(FdhD_protein)",0
"K02431(L-fucose_mutarotase)",0.018
"K02440(glycerol_uptake_facilitator_protein)",0
"K02443(glycerol_uptake_operon_antiterminator)",0
"K02446(fructose-1,6-bisphosphatase_II)",0.01
"K02466(glucitol_operon_activator_protein)",0.01
"K02476(two-component_system,_CitB_family,_sensor_kinase)",0.018
"K02499(tetrapyrrole_methylase_family_protein_/_MazG_family_protein)",0.018
"K02502(ATP_phosphoribosyltransferase_regulatory_subunit)",0.01
"K02526(2-keto-3-deoxygluconate_permease)",0.002
"K02530(DeoR_family_transcriptional_regulator,_lactose_phosphotransferasesystem_repressor)",0
"K02532(MFS_transporter,_OHS_family,_lactose_permease)",0
"K02538(activator_of_the_mannose_operon,_transcriptional_antiterminator)",0
"K02545(penicillin-binding_protein_2_prime)",0
"K02552(menaquinone-specific_isochorismate_synthase)",0.002
"K02565(N-acetylglucosamine_repressor)",0.006
"K02594(homocitrate_synthase_NifV)",0.016
"K02598(nitrite_transporter_NirC)",0.016
"K02624(IclR_family_transcriptional_regulator,_pca_regulon_regulatoryprotein)",0.004
"K02744(PTS_system,_N-acetylgalactosamine-specific_IIA_component)",0
"K02745(PTS_system,_N-acetylgalactosamine-specific_IIB_component)",0.002
"K02746(PTS_system,_N-acetylgalactosamine-specific_IIC_component)",0.01
"K02747(PTS_system,_N-acetylgalactosamine-specific_IID_component)",0.01
"K02749(PTS_system,_arbutin-like_IIB_component)",0
"K02755(PTS_system,_beta-glucosides-specific_IIA_component)",0.004
"K02756(PTS_system,_beta-glucosides-specific_IIB_component)",0
"K02759(PTS_system,_cellobiose-specific_IIA_component)",0
"K02760(PTS_system,_cellobiose-specific_IIB_component)",0
"K02761(PTS_system,_cellobiose-specific_IIC_component)",0
"K02769(PTS_system,_fructose-specific_IIB_component)",0
"K02770(PTS_system,_fructose-specific_IIC_component)",0
"K02773(PTS_system,_galactitol-specific_IIA_component)",0
