"kegg","level_1","level_2","BRITE_id","X","LS001","LS002","LS003","LS004","LS005","LS006","LS007","CD.SRS301865","CD.SRS301866","CD.SRS301867","CD.SRS301868","CD.SRS301869","CD.SRS301870","CD.SRS301871","CD.SRS301872","CD.SRS301873","CD.SRS301874","CD.SRS301875","CD.SRS301876","CD.SRS301877","CD.SRS301878","CD.SRS301879","UC.SRS071964","UC.SRS071970","UC.SRS071978","UC.SRS071981","UC.SRS071982","UC.SRS071988","HE.SRS011061","HE.SRS011084","HE.SRS011134","HE.SRS011239","HE.SRS011271","HE.SRS011302","HE.SRS011405","HE.SRS011452","HE.SRS011529","HE.SRS011586","HE.SRS012273","HE.SRS012902","HE.SRS013158","HE.SRS013215","HE.SRS013687","HE.SRS013951","HE.SRS014235","HE.SRS014923","HE.SRS014979","HE.SRS015065","HE.SRS015217","HE.SRS015578","HE.SRS015663","HE.SRS016018","HE.SRS016095","HE.SRS016335","HE.SRS016495","HE.SRS017103","HE.SRS017433","HE.SRS018427","HE.SRS018656","HE.SRS020328","HE.SRS020869","HE.SRS022713"
"K00128","Metabolism","Carbohydrate metabolism","","K00128(aldehyde_dehydrogenase_(NAD+))",0.00270685084802229,0.00193627489519308,0.00207339253165837,0.00207858973710974,0.00127765134873334,0.0015172646843015,0.00106335918087934,0.00220957673031246,0.00158355816073217,0.00407899393559796,0.00454587890075705,0.00408096147629854,0.00384361501821282,0.006819046442868,0.00168139265149413,0.00601491885075166,0.00177080489330474,0.00428867378788064,0.00441054280059415,0.00280600344825748,0.00492542197138061,0.00414863672124982,0.0166705791349095,0.000432012979506249,0.00211109633808476,0.00607853566772696,0.000597276787945398,0.000643563846576546,0,0.000346744991720472,0.000827343867631309,0.000128458815607488,0.000190990099887288,0.000333056980772415,0.000181178217620638,0,0.0003334624304211,0.000216138972632716,0.000864934158515864,0,4.52783340214757e-05,1.39101490986702e-05,0.000637147130411954,0.000611860569457542,0.000554050594024704,0.00239569540504358,0.00021924383367866,0.000834279769262827,0.000398201482886099,0.000400614498155047,0.000886008770145228,0.000435325059876436,0.000994258812144681,0.000339367506616155,0.000122383603849094,0.000646188778037847,0.00016456739723808,0.000567240826693981,0.00144820487924601,0.00137280202071613,0.000353718958608415,0
"K00632","Metabolism","Overview","","K00632(acetyl-CoA_acyltransferase)",0.000405295746437591,0.000367932040847821,0.000413040371000657,0.000261783189470596,6.55239931530619e-05,0.000124032477208947,0.000528383163887238,0.000204059484348763,0.000133770634512217,9.3484863465392e-05,0,0,0,0.000304341185591333,0.000172646682366341,1.21977950412749e-05,0.000138239237544642,5.50722285096849e-05,0.000104060624307377,7.18681157371485e-05,0.000108197792424533,1.05775408700864e-05,0.000344315828938401,0.000107647550202815,0.000545309049853373,3.5349742203776e-05,0.000999541019388926,0.000229469303755394,0,6.14300936368549e-06,0,3.20805881863241e-06,0,0,0,0,0,0,7.92068221861433e-06,0,0,0,0,0,0,1.38926027059012e-05,7.89541801255391e-06,0,1.77375051808677e-05,0,1.21353706226728e-05,0,0,0,1.96607851014022e-06,0,0,0,6.04826519345232e-06,0,0,0
"K00712","Metabolism","Enzyme families","ko01000","K00712(poly(glycerol-phosphate)_alpha-glucosyltransferase)",0.000122369178406139,9.30432700168661e-05,0.000107540907076106,0.000153790303292575,9.67835128231951e-05,0.000213782401771044,8.6749495087752e-05,0.000240985185665659,0.000170267943882512,2.72732525929746e-05,3.47818195494314e-05,4.68007862782128e-05,0.000119653405067424,4.44318935830757e-05,0.000304945489120069,9.01409953821801e-05,0.00022166801334538,0.000131611428249781,1.98219134425944e-05,0.000107799655671702,1.70536721860742e-05,0.000170320185072367,0.000206391534630964,0.000307104492872975,0.000240391284982755,0.000246911872356213,0.000132030319250648,0.000303098693937612,0.000463291598691302,0.000599614365510652,0.000394834385284853,0.000617184880642398,0.00058547862436431,0.000282125453975446,0.000537343080999835,0.000370689814135557,0.00034976184543851,0.000625686423557351,0.000394033430415509,0.000884221512219134,0.000388591841792785,0.000439670715731429,0.000228205694643307,0.000231557702075763,0.000421547670480694,0.000231269287773139,0.000300998183636651,0.000360285536706538,0.000215120700563566,0.00066370913662275,0.000435228570913743,0.000401285201674486,0.000421450864357848,0.000349329361028535,0.000307738331768226,0.000377504340094992,0.000357048467552178,0.000421913154989292,0.000250612843292338,0.000348830233720722,0.000342548108465623,0.000790719886682629
"K00786","Metabolism","Enzyme families","ko01000","K00786(beta-galactosamide-alpha-2,3-sialyltransferase)",0.000950096780063409,0.000974017638685322,0.000815450815844285,0.00109735216332469,0.000892183199769321,0.00156391588018351,0.000872657103462354,0.000597189564595468,0.000466202592468868,0.000887906952395661,0.000860984192893401,0.000832455005308752,0.00114620458038877,0.000518560117230414,0.000668444187092321,0.000646949420998744,0.000790166724240558,0.000834624813114963,0.000908229394574857,0.00092332395587962,0.000952776275131601,0.00124247211493487,0.000812789733987505,0.00148075718421514,0.00109802705115956,0.00176434051732862,0.000928049402807246,0.00145562144785991,0.00211887172045452,0.00202547181802835,0.00170900108459989,0.00153984533766617,0.00213874318036547,0.00151579063631303,0.00226968401468961,0.00192384656851841,0.00141405307512622,0.00221744752726199,0.00170448978815122,0.00196527312083075,0.00144390674829898,0.00207693105271079,0.00157026147586919,0.00167576206479512,0.00181594326564872,0.00161858575107248,0.00183712907387266,0.0015766703292277,0.00130098172224428,0.00191199017636717,0.00139796358242786,0.00200150989750923,0.00211157049878266,0.00175049334374933,0.00130046537713807,0.00149671963452003,0.00107694168653564,0.00160176112708293,0.00161241896572691,0.00145157839863,0.00166296174114064,0.00250218971040128
"K00791","Metabolism","Metabolism of terpenoids and polyketides","","K00791(tRNA_dimethylallyltransferase)",0.000291162206373672,0.000287153282258453,0.000294874041276213,0.000305852014717218,0.000390587528216433,0.000337402764546007,0.000340361714739579,0.000325346925732904,0.000325901093966262,0.000244999205449998,0.000330880297179207,0.000321975545763267,0.000280545726763749,0.000226630379845098,0.000333395342802006,0.000249339457132643,0.000364279080126455,0.000232973471280672,0.000251613063278434,0.000253172278937824,0.000281127767024437,0.000179154594632628,0,0.000387761082822406,0.000257844981116693,0.000201304722519851,0.000266749450758382,0.000372461359579178,0.000414084586099972,0.000422293574496203,0.000496088872948624,0.000473450209009546,0.000520292393158219,0.00039873651336202,0.000410308254549654,0.000416417755035413,0.000535332144691359,0.000442647434013307,0.000429221364071432,0.00042161295382498,0.000406404753687152,0.000414855637828351,0.000561622896576404,0.000422264541903276,0.000414731697227373,0.000314654787919527,0.000399918924995399,0.000357027054888448,0.000373481821002893,0.000388438914870928,0.000496325746525503,0.00042520616750165,0.00040951140411593,0.000434854781393301,0.000308567663371065,0.000460887162458726,0.00048000782578611,0.000391485046590932,0.00049243591394432,0.000473016899528295,0.000450947752686116,0.000470128664772921
"K00867","Metabolism","Metabolism of cofactors and vitamins","","K00867(type_I_pantothenate_kinase)",3.96428911571585e-05,1.92421379376437e-05,2.81580310893987e-05,2.77746482068293e-05,2.97963830672915e-05,1.16143675856906e-05,3.53666014262943e-05,0.000244412825359198,0.000331991239561721,6.62115759255921e-06,6.68328731811588e-06,1.15241963263631e-05,1.89245025224923e-05,5.46471183398921e-05,0.000248599451950514,7.91311291282335e-05,0.000234425005868186,3.97527097803727e-05,4.06241669899965e-06,2.45329041656592e-05,9.29156168386539e-06,4.89442102116944e-05,0.000176244371870357,2.96034805575228e-05,0.000116330616532802,0.000176015376618221,0.000135597395695891,2.24440371426106e-05,0,0,0,0,0,0,0,0,0,0,2.78834702681591e-06,0,0,0,0,0,0,0,0,0,0,2.87678323120334e-06,0,0,0,0,0,0,0,0,0,0,1.04058473375597e-06,0
"K00966","Metabolism","Carbohydrate metabolism","","K00966(mannose-1-phosphate_guanylyltransferase)",0.000150038802641955,0.000165245709208188,0.000139067370769903,0.000141995091965723,0.000162966018882816,0.000309817692093147,0.000253955378398552,5.96259659592248e-05,5.37246234805702e-05,4.56505761692705e-05,4.63310704922274e-05,4.65655346165028e-05,0.000150666851828141,7.82582079332353e-05,6.57905326860705e-06,0.000152276353932811,0.000237275598026761,9.6738854604735e-06,1.19251576664926e-05,5.83600654308195e-05,5.06135502252653e-06,1.71553577302422e-05,4.37322413988815e-05,0.000554836639680437,0.00118630154201538,0.000570327403701791,0.000254484796789201,0.000610238337112593,0.00057671045513411,0.000575713000552487,0.000496484846386259,0.000584747209060428,0.000759291214416796,0.000468678845933537,0.000551143701506021,0.000626585128775147,0.000738313986821806,0.000385201971048724,0.000328646395471397,0.000670041062394909,0.000547926416551312,0.000633390455384998,0.000591723103748193,0.000365447635875366,0.000526423456995091,0.000560133403989783,0.000331165225466211,0.000507783534635728,0.000441997742257663,0.000922262175779737,0.000620241223544137,0.000428220773827503,0.000425300031024445,0.00032938858528044,0.000419560048663805,0.000686987004704106,0.000699114075166763,0.00052271281515188,0.000393715039372811,0.000474035696764977,0.000520873961135947,0.000867517854148266
"K00986","Metabolism","Enzyme families","ko01000","K00986(RNA-directed_DNA_polymerase)",0.000670826389665334,0.00057362598946418,0.000558678385798535,0.000765581893382408,0.000349005955720524,0.00084129430198351,0.000684723201418989,0.000295038986926009,0.000202000560596684,0.000632022466796377,0.000469186199674814,0.00052294761285337,0.000721488488480153,0.000797492343708825,0.00020538458562703,0.000573995971421399,0.000484424685835125,0.000288658926843452,0.000647465836056602,0.000758978920493926,0.000448755265207071,0.000840052839749858,0.000383524765258534,0.00103418407982337,0.000536299608325615,0.000272212574282105,0.000636412955578632,0.000878180903869388,0.00133186195383211,0.00100599531941442,0.00123361191214457,0.00181062298367449,0.00213585235227133,0.0012678353043414,0.00155686448391349,0.00155000520511359,0.00153666922125132,0.00174522596082033,0.0017462384958037,0.0008544205308795,0.00108747599947947,0.000319011575476475,0.00152886415386774,0.00138510575616727,0.00129322605926158,0.00198556360469828,0.00162471193219349,0.00170954235102403,0.000954014625119418,0.000712084285487954,0.00145723693561722,0.00141866391950831,0.00116599321991689,0.00120527105103305,0.00145551944015672,0.00121857176058643,0.00163949639503786,0.0013312210174833,0.00183425580896642,0.000896883910814974,0.00110256341272881,0.000962826433329772
"K00998","Metabolism","Lipid metabolism","","K00998(phosphatidylserine_synthase)",0.000317092321951772,0.000217951763459437,0.000327435827338475,0.000318780782001193,0.000169808900389843,0.000354574380396528,0.000189399767627948,0.000196212748890329,0.000142175528590149,0.000228469374819872,0.000148966460519698,0.000130109357669257,0.000130658833502592,0.00020750207742987,0.000111440775779925,3.06964122472283e-05,0.00022295714820921,0.000241911134497316,0.000242865523032878,0.000336724887949392,0.000121575328972226,0.000280734201426553,7.74241939517555e-05,0.000203893758568054,0.000192772055080599,0.000266746085444832,0.000307559786380847,0.000220859513908332,0.000364150211457727,0.000462610010840144,0.000346557547685102,0.000426197174662857,0.000474078331063267,0.00051418629204548,0.000368034173654046,0.000341880387108538,0.00044305217402513,0.000464548541196042,0.000316089730335427,0.000339671662441147,0.000278824835578525,0.000400518709596731,0.000422425948099403,0.000167840074110909,0.000346148092534048,0.000286311965785635,0.000346711046514759,0.000344127491642547,0.000267908523059416,0.000391636047794854,0.000426477933216115,0.000502446198559135,0.000605954659194505,0.000621603072040301,0.000666373716670917,0.00044501502619373,0.000422338536512678,0.000360443536037511,0.000517815530179108,0.000346671802450244,0.000359010774445508,0.000361307758759761
"K01155","Metabolism","Enzyme families","ko01000","K01155(type_II_restriction_enzyme)",0.000224353686634257,0.000107948005840147,0.000120191038702618,0.00020925289489622,9.68273976271414e-05,0.000300044390444937,0.000154622963771268,8.69999450134891e-05,8.95989246701217e-05,0,9.72431547131474e-06,9.47277286485348e-06,3.30227542266791e-05,8.14242885332901e-05,0.000149284903975065,3.18677408688324e-05,0.000146394514517482,9.18036218160238e-05,6.62406671800989e-06,5.64902157291786e-05,0,7.29410950126282e-05,0,0.000203191883518125,0,4.30544720577335e-05,7.38936289485029e-05,0.000139821071347169,0.000287996888235292,0.000253749612396496,0.000275912487428872,0.00035046863467415,0.000340729309939372,0.000282741668395532,0.000374947822482909,0.000276077770243528,0.000422178955245858,0.000394849667294458,0.000366589348043685,0.000304340001448465,0.000332676174127354,0.000184162628084927,0.000330996287724851,0.000278974252417962,0.000424378503007594,0.000210097476088151,0.000455756172060856,0.000494812643191006,0.000366104913604589,0.000400017713063874,0.000385964960964895,0.000160986766263508,0.000173681067387445,0.000673393151905643,0.000413461172929931,0.000471232625323102,0.000538671659435486,0.000315342471609219,8.21565985513688e-05,0.000336075445680242,0.000232640296592937,0.000296157386536009
"K01223","Metabolism","Carbohydrate metabolism","","K01223(6-phospho-beta-glucosidase)",0.000245787398639216,0.000449801828215615,0.00024591643567405,0.000359040067823668,0.000173995767729227,0.000159796257045265,0.000358362100894514,0.000883567505002403,0.00112640790754,0.000348254105049539,0.000527216913803614,0.000620642184118067,0.000871165343985215,0.000720512619060587,0.000765184897807897,0.000641008233201911,0.000787689038905577,0.00103213897178222,0.000167989839239956,0.000749656588755373,0.000366447667709858,0.000897793348382769,0.000744039497516267,0.000124342302781201,0.000190670014167202,0.000437489601975474,0.000477839929156552,0.000309353739908882,7.31716550914693e-06,6.9217539208118e-05,0.000277921823581825,3.36156867580307e-05,4.34406645474821e-05,0.000107663910904115,1.24518446766782e-05,0,2.39988201978901e-05,5.61678422703043e-05,0.000117060690102612,0,2.77969323278124e-06,0,2.40818916991007e-05,0.000128283947100488,0.000107862933574189,0.000207602125059322,8.16439586711458e-05,0.000128441110968202,0.000171541625162735,5.99223662797255e-05,0.000124501864148483,2.93748425812814e-06,0.000152161658208361,2.4592331974901e-05,0.000114394438210216,1.29592835529348e-05,1.1936717874281e-05,3.03371776723232e-05,2.89981566964632e-05,4.18073368182342e-05,2.69054934453691e-05,0
"K01232","Metabolism","Carbohydrate metabolism","","K01232(maltose-6'-phosphate_glucosidase)",5.22519345103629e-05,0.000113388101650268,5.77199567727528e-05,6.26461005258978e-05,3.61506301017658e-05,3.70952375754639e-05,8.10375764723042e-05,0.000255811550305918,0.00034971567257109,0.000503124237323088,3.07271532854526e-05,3.63370125121691e-05,5.57106803777986e-05,4.75217378925177e-05,0.000240977511317159,0.000100995608582684,0.000288953356811384,9.50762376818023e-05,0.000451067266590325,0.000189283982919257,0.000830337467418595,1.9332524178403e-05,1.58857331795988e-05,4.93002423062651e-05,0.000128570238713241,6.39853051563274e-05,0.000102764897521676,6.9127091717415e-05,0,3.39324332994472e-06,9.76443043299143e-06,8.39178007304421e-06,0,1.63122998002914e-05,0,0,1.97625909674503e-07,2.43440798483243e-06,4.69651047688276e-06,0,0,0,1.97367631887239e-06,1.53949559350949e-05,2.25859876176806e-05,9.9332932969485e-08,2.49200471464622e-06,6.3298353942441e-06,2.32840022509737e-06,5.72549822183927e-06,1.34260971027981e-05,1.68652098788031e-06,2.76070788942427e-06,1.79198004221906e-06,1.27930723091261e-05,0,9.83091936065018e-06,4.94482046682061e-06,5.49967530867458e-06,6.35010599923082e-06,4.4743498995899e-06,0
"K01281","Metabolism","Enzyme families","ko01000","K01281(X-Pro_dipeptidyl-peptidase)",6.77055170316674e-06,1.0320310713598e-05,1.37680680530353e-05,1.80541759869473e-05,1.50698480742804e-05,3.44409544415505e-06,5.8797735678201e-06,0.000216773392441178,0.000300287904689392,1.60338392265862e-05,1.94609363208339e-05,2.26727493465473e-05,2.98387244777718e-05,2.48043076579245e-05,0.000231559495172604,3.43123133729497e-05,0.000181004246340224,0.000112338012114297,4.20206060117151e-05,7.85157342957483e-06,5.62828389248123e-05,9.75113183882636e-05,0,0,0,0,7.53885469214556e-06,0,0,0,0,7.61790562030746e-08,0,0,0,0,8.48554634456796e-08,0,1.49439995569003e-06,0,0,0,0,0,0,1.49519290697235e-06,1.60169128288453e-07,0,0,0,2.66323441456499e-06,0,1.85034480136894e-07,3.6022694236921e-07,2.07448199424949e-06,0,0,0,1.45427512892674e-07,5.58537543240648e-07,1.91713475451785e-06,0
"K01439","Metabolism","Overview","","K01439(succinyl-diaminopimelate_desuccinylase)",0.000388943414747886,0.000372121516317933,0.000259440975300367,0.000282785339516868,0.000274483057782007,0.000234335934067622,0.000295638730451355,0.000719854414879456,0.000586018741011234,0.000671721238610632,0.000449842582097607,0.000410893308528937,0.00026825670742055,0.000442320472829238,0.000819222228183682,0.000600010772517335,0.000472132490346457,0.000486799274111887,0.000715322852352678,0.000494143610942227,0.000876655597897562,0.000373613689958622,0.000496250336446848,4.36240141518033e-05,0.000111640650421012,7.99233295657642e-05,0.000235412743769571,9.15402994910408e-05,3.58762586870183e-05,0.000175195691175939,0.000101850792348705,0.00011049759190486,3.31740547045309e-05,0.00025229161352413,1.2381939636635e-05,1.50819426868662e-05,1.70538393513769e-05,5.59639604942006e-05,9.09684253150963e-05,0,1.36381304635683e-05,3.70593493349228e-06,0.000150484517503591,0.000137127717753304,6.05186666480116e-05,0.000142057664713493,0.000147010836094092,0.000112565967597275,0.000126369814423091,6.21883624246946e-05,0.000106473000473401,0.000114031899522848,0.000111112008849801,0.000198912662459067,0.000243051167563563,6.2763799941853e-05,1.4062611663209e-05,0.000161282046433008,0.000121986259268343,0.000117470940168537,0.00012601688183031,0
