kegg,level_1,level_2,brite_name,BRITE_id,brite_level_1,brite_level_2
K01369,Cellular Processes,Transport and catabolism,,,,
K01368,Cellular Processes,Transport and catabolism,,,,
K01365,Cellular Processes,Transport and catabolism,,,,
K01364,Human Diseases,Drug resistance,,,,
K01366,Cellular Processes,Transport and catabolism,,,,
K01361,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01360,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01363,Cellular Processes,Transport and catabolism,,,,
K01362,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K09173,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K05848,Metabolism,Lipid metabolism,,,,
K05849,Environmental Information Processing,Signal transduction,,,,
K05841,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K05842,Environmental Information Processing,Signal transduction,,,,
K05844,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K05845,Environmental Information Processing,Membrane transport,,,,
K08566,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K05847,Environmental Information Processing,Membrane transport,,,,
K00508,Metabolism,Lipid metabolism,,,,
K00502,Metabolism,Amino acid metabolism,,,,
K00507,Metabolism,Overview,,,,
K00504,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K00505,Metabolism,Amino acid metabolism,,,,
K04469,Environmental Information Processing,Signal transduction,,,,
K09281,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K09789,Metabolism,Metabolism of cofactors and vitamins,,,,
K04461,Environmental Information Processing,Signal transduction,,,,
K04460,Environmental Information Processing,Signal transduction,,,,
K01103,Metabolism,Carbohydrate metabolism,,,,
K01102,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01104,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K01107,Metabolism,Carbohydrate metabolism,,,,
K01106,Metabolism,Carbohydrate metabolism,,,,
K05592,Genetic Information Processing,"Folding, sorting and degradation",,,,
K05593,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K05590,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K05591,,,Enzymes [BR:ko01000],ko01000,Metabolism,Enzyme families
K05596,,,Transcription factors [BR:ko03000],ko03000,Genetic Information Processing,Transcription
K05597,Metabolism,Amino acid metabolism,,,,
K05594,,,,unknown,,
K05595,,,Transporters [BR:ko02000],ko02000,Environmental Information Processing,Membrane transport
K02045,Metabolism,Energy metabolism,,,,
K14549,Genetic Information Processing,Translation,,,,
K11962,Environmental Information Processing,Membrane transport,,,,
K14541,Metabolism,Amino acid metabolism,,,,
K14540,,,Ribosome biogenesis [BR:ko03009],ko03009,Genetic Information Processing,Translation
K14547,Genetic Information Processing,Translation,,,,
K14546,Genetic Information Processing,Translation,,,,
K14545,Genetic Information Processing,Translation,,,,
K14544,Genetic Information Processing,Translation,,,,
K06573,Organismal Systems,Excretory system,,,,
K09780,,,,unknown,,
K05141,Environmental Information Processing,Signal transduction,,,,
